Unnamed: 0,French,English
4,police,police
5,pensais,thought
6,aide,help
8,genre,kind
10,frère,brother
12,car,because
13,mettre,to put
14,aucun,no
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
21,bébé,baby
23,heures,hours
25,pendant,while
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,voici,here is
35,pourrais,could
37,donner,give
38,type,type
42,corps,body
45,façon,way
46,écoute,listen
47,dont,whose
48,trouve,find
50,perdu,lost
52,première,first
53,côté,side
54,pouvoir,power
55,vieux,old
56,sois,be
57,tiens,here
59,tellement,so much
60,enfant,child
61,point,point
62,venu,came
63,suite,after
64,pardon,sorry
65,venez,come
66,devant,in front of
67,vers,towards
68,demandé,request
69,chambre,bedroom
71,belle,beautiful
72,droit,law
73,aimerais,would like to
75,mari,husband
76,cause,cause
78,espère,hope
79,eau,water
80,attendez,Wait
82,nouvelle,new
84,arrêter,Stop
85,dirait,would say
86,terre,Earth
87,compte,account
88,donne,given
89,loin,far
90,fin,end
94,plutôt,rather
97,jouer,to play
98,bureau,office
